Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765110569,20,,Aggregated,9.400000,9.400000,4,4,5,5,7,10,16,48,91,91,91,468,468,4,5.283797072883721,1.6612079925835133,90.67170800699387,0.0
1765110570,20,,Aggregated,9.800000,9.800000,4,4,5,5,7,10,16,48,91,91,91,478,478,4,5.257406872610716,1.6612079925835133,90.67170800699387,0.0
1765110571,20,,Aggregated,10.000000,10.000000,4,4,5,5,7,10,16,48,91,91,91,487,487,4,5.217862989884003,1.6612079925835133,90.67170800699387,0.0
1765110572,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,10,16,48,91,91,91,499,499,4,5.1824560443222625,1.6612079925835133,90.67170800699387,0.0
1765110573,20,,Aggregated,10.200000,10.200000,4,4,5,5,7,10,14,37,91,91,91,507,507,4,5.1768713532747235,1.6612079925835133,90.67170800699387,0.0
1765110574,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,10,14,37,91,91,91,518,518,4,5.14973597511722,1.6612079925835133,90.67170800699387,0.0
1765110575,20,,Aggregated,10.000000,10.000000,4,4,5,5,7,10,14,37,91,91,91,528,528,4,5.117570755911319,1.6612079925835133,90.67170800699387,0.0
1765110576,20,,Aggregated,10.000000,10.000000,4,4,5,5,7,10,14,37,91,91,91,539,539,4,5.090557094858847,1.6612079925835133,90.67170800699387,0.0
1765110577,20,,Aggregated,9.600000,9.600000,4,4,5,5,7,10,14,37,91,91,91,548,548,4,5.063248976485559,1.6612079925835133,90.67170800699387,0.0
1765110579,20,,Aggregated,9.700000,9.700000,4,4,5,5,7,10,14,37,91,91,91,560,560,4,5.0228407413409775,1.6612079925835133,90.67170800699387,0.0
1765110580,20,,Aggregated,10.300000,10.300000,4,4,5,5,7,10,14,37,91,91,91,568,568,4,5.0059251446417505,1.5913750103209168,90.67170800699387,0.0
1765110581,20,,Aggregated,9.800000,9.800000,4,4,5,5,7,10,14,37,91,91,91,578,578,4,4.97174932031085,1.5913750103209168,90.67170800699387,0.0
1765110582,20,,Aggregated,10.200000,10.200000,4,4,5,5,7,10,14,37,91,91,91,584,584,4,4.958959373515714,1.5913750103209168,90.67170800699387,0.0
1765110583,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,10,14,37,91,91,91,600,600,4,4.953080250173419,1.5913750103209168,90.67170800699387,0.0
1765110584,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,10,18,42,91,91,91,607,607,4,5.198326304960954,1.5913750103209168,90.67170800699387,0.0
1765110585,20,,Aggregated,9.700000,9.700000,4,4,5,5,7,10,18,42,91,91,91,615,615,4,5.1709371026202176,1.5913750103209168,90.67170800699387,0.0
1765110586,20,,Aggregated,10.000000,10.000000,4,4,5,5,7,10,18,42,91,91,91,625,625,4,5.153866241825744,1.5913750103209168,90.67170800699387,0.0
1765110587,20,,Aggregated,9.700000,9.700000,4,4,5,5,7,10,18,42,91,91,91,635,635,4,5.142519926225151,1.5913750103209168,90.67170800699387,0.0
1765110588,20,,Aggregated,9.700000,9.700000,4,4,5,5,7,10,18,42,91,91,91,646,646,4,5.128056026526457,1.5913750103209168,90.67170800699387,0.0
1765110589,20,,Aggregated,9.700000,9.700000,4,4,5,5,7,10,16,42,91,91,91,655,655,4,5.1177433620159025,1.5913750103209168,90.67170800699387,0.0
1765110590,20,,Aggregated,9.400000,9.400000,4,4,5,5,7,10,16,42,91,91,91,668,668,4,5.092130281629939,1.5913750103209168,90.67170800699387,0.0
1765110591,20,,Aggregated,9.700000,9.700000,4,4,5,5,7,10,16,42,91,91,91,677,677,4,5.080204988350718,1.5913750103209168,90.67170800699387,0.0
1765110592,20,,Aggregated,10.000000,10.000000,4,4,5,5,7,10,16,42,91,91,91,688,688,4,5.057859898485287,1.5913750103209168,90.67170800699387,0.0
1765110593,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,10,16,42,91,91,91,695,695,4,5.045241043398747,1.5913750103209168,90.67170800699387,0.0
1765110594,20,,Aggregated,9.900000,9.900000,4,4,5,5,6,9,16,41,91,91,91,706,706,4,5.0209354705178235,1.5913750103209168,90.67170800699387,0.0
1765110595,20,,Aggregated,10.300000,10.300000,4,4,5,5,6,9,16,41,91,91,91,719,719,4,5.0083866859566015,1.5913750103209168,90.67170800699387,0.0
1765110596,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,9,16,41,91,91,91,726,726,4,5.0030321766294925,1.5913750103209168,90.67170800699387,0.0
1765110597,20,,Aggregated,10.400000,10.400000,4,4,5,5,7,9,16,41,91,91,91,737,737,4,5.000769823935392,1.5913750103209168,90.67170800699387,0.0
1765110598,20,,Aggregated,10.400000,10.400000,4,4,5,5,7,9,16,41,91,91,91,747,747,4,5.0081981609309265,1.5913750103209168,90.67170800699387,0.0
1765110599,20,,Aggregated,10.000000,10.000000,4,4,5,5,6,9,15,41,91,91,91,755,755,4,4.994435189677316,1.5913750103209168,90.67170800699387,0.0
1765110600,20,,Aggregated,10.200000,10.200000,4,4,5,5,7,10,16,41,91,91,91,768,768,4,5.0042749338672365,1.1907500011147931,90.67170800699387,0.0
1765110601,20,,Aggregated,10.200000,10.200000,4,4,5,5,7,10,16,41,91,91,91,776,776,4,4.996657783775254,1.1907500011147931,90.67170800699387,0.0
1765110602,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,10,16,41,91,91,91,786,786,4,4.991593011706012,1.1907500011147931,90.67170800699387,0.0
1765110603,20,,Aggregated,9.900000,9.900000,4,4,5,5,7,10,16,41,91,91,91,793,793,4,4.988673581591423,1.1907500011147931,90.67170800699387,0.0
1765110604,20,,Aggregated,9.800000,9.800000,4,4,5,5,7,10,16,37,91,91,91,802,802,4,4.999497224681429,1.1907500011147931,90.67170800699387,0.0
1765110605,20,,Aggregated,9.800000,9.800000,4,4,5,5,7,10,16,37,91,91,91,810,810,4,4.996954506413327,1.1907500011147931,90.67170800699387,0.0
1765110606,20,,Aggregated,9.500000,9.500000,4,4,5,5,7,10,16,37,91,91,91,824,824,4,4.978951940783305,1.1907500011147931,90.67170800699387,0.0
